"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.xb1:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb10","avgt",1,20,0.009652,0.003215,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb10:·gc.alloc.rate","avgt",1,20,0.364927,0.011908,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb10:·gc.alloc.rate.norm","avgt",1,20,195344.400000,6641.565463,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb10:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb100","avgt",1,20,0.008680,0.003846,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb100:·gc.alloc.rate","avgt",1,20,2.001793,0.019217,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100:·gc.alloc.rate.norm","avgt",1,20,1069152.800000,7030.928277,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb1000","avgt",1,20,0.044701,0.013314,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb1000:·gc.alloc.rate","avgt",1,20,16.431022,0.572513,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb1000:·gc.alloc.rate.norm","avgt",1,20,9388556.000000,237993.252601,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb1000:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb10000","avgt",1,20,1.466845,0.195402,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.alloc.rate","avgt",1,20,46.224484,4.120600,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.alloc.rate.norm","avgt",1,20,94322976.000000,128051.218121,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.churn.PS_Eden_Space","avgt",1,20,37.416459,79.486813,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,73400320.000000,156018015.208491,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.churn.PS_Survivor_Space","avgt",1,20,0.233758,0.788895,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,429260.800000,1427465.803552,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.count","avgt",1,20,3.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb10000:·gc.time","avgt",1,20,24.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb100000","avgt",1,20,96.251712,22.975093,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.alloc.rate","avgt",1,20,9.654029,1.573391,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.alloc.rate.norm","avgt",1,20,933760996.800000,10532928.346779,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.Compressed_Class_Space","avgt",1,20,0.000009,0.000023,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.Compressed_Class_Space.norm","avgt",1,20,818.400000,2030.967337,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.Metaspace","avgt",1,20,0.000026,0.000065,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.Metaspace.norm","avgt",1,20,2359.200000,5786.376130,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Eden_Space","avgt",1,20,9.649838,2.388764,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,931921920.000000,169062426.778221,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Old_Gen","avgt",1,20,0.974719,0.678721,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Old_Gen.norm","avgt",1,20,94309400.800000,65375271.312885,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Survivor_Space","avgt",1,20,0.885963,0.516232,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,85183692.800000,47038602.908058,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.count","avgt",1,20,60.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb100000:·gc.time","avgt",1,20,8296.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.xb2","avgt",1,20,0.007570,0.002076,"s/op"
"benchmarking.PurchaseOrderBenchmark.xb2:·gc.alloc.rate","avgt",1,20,0.199678,0.011052,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.xb2:·gc.alloc.rate.norm","avgt",1,20,106432.000000,5783.710254,"B/op"
"benchmarking.PurchaseOrderBenchmark.xb2:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.xb25","avgt",1,20,0.013125,0.003914,"s/op"
